Day,Date,Grand Sales,Special Note,High Temp,Low Temp,Flavor,Made,Used,Waste,Usage_Efficiency,Waste_Percentage
Thursday,5/9/24,18439.24,IEEE Conv,76,56,BBC,4,3,1,0.75,0.25
Thursday,5/9/24,18439.24,IEEE Conv,76,56,WC,17,11,6,0.647058824,0.352941176
Thursday,5/9/24,18439.24,IEEE Conv,76,56,MT,40,5,35,0.125,0.875
Thursday,5/9/24,18439.24,IEEE Conv,76,56,ST,6,5,1,0.833333333,0.166666667
Thursday,5/9/24,18439.24,IEEE Conv,76,56,FW/WT,5,4,1,0.8,0.2
Thursday,5/9/24,18439.24,IEEE Conv,76,56,Lemon,2,1.5,0.5,0.75,0.25
Thursday,5/9/24,18439.24,IEEE Conv,76,56,Extras,41,37,4,0.902439024,0.097560976
Friday,5/10/24,23804.72,Mexican Mothers Day,76,57,BBC,3,2,1,0.666666667,0.333333333
Friday,5/10/24,23804.72,Mexican Mothers Day,76,57,WC,21,15,6,0.714285714,0.285714286
Friday,5/10/24,23804.72,Mexican Mothers Day,76,57,MT,33,14,19,0.424242424,0.575757576
Friday,5/10/24,23804.72,Mexican Mothers Day,76,57,ST,9,6.5,2.5,0.722222222,0.277777778
Friday,5/10/24,23804.72,Mexican Mothers Day,76,57,FW/WT,7,3,4,0.428571429,0.571428571
Friday,5/10/24,23804.72,Mexican Mothers Day,76,57,Lemon,2,1.5,0.5,0.75,0.25
Friday,5/10/24,23804.72,Mexican Mothers Day,76,57,Extras,58,49,9,0.844827586,0.155172414
Saturday,5/11/24,33099.7,None,75,57,BBC,4,4,0,1,0
Saturday,5/11/24,33099.7,None,75,57,WC,32,27,5,0.84375,0.15625
Saturday,5/11/24,33099.7,None,75,57,MT,23,16,7,0.695652174,0.304347826
Saturday,5/11/24,33099.7,None,75,57,ST,18,11,7,0.611111111,0.388888889
Saturday,5/11/24,33099.7,None,75,57,FW/WT,12,10,2,0.833333333,0.166666667
Saturday,5/11/24,33099.7,None,75,57,Lemon,2,2,0,1,0
Saturday,5/11/24,33099.7,None,75,57,Extras,64,53,11,0.828125,0.171875
Sunday,5/12/24,29372.16,Mothers Day,78,58,BBC,8,6,2,0.75,0.25
Sunday,5/12/24,29372.16,Mothers Day,78,58,WC,37,30,7,0.810810811,0.189189189
Sunday,5/12/24,29372.16,Mothers Day,78,58,MT,18,17,1,0.944444444,0.055555556
Sunday,5/12/24,29372.16,Mothers Day,78,58,ST,15,9,6,0.6,0.4
Sunday,5/12/24,29372.16,Mothers Day,78,58,FW/WT,10,7,3,0.7,0.3
Sunday,5/12/24,29372.16,Mothers Day,78,58,Lemon,4,3,1,0.75,0.25
Sunday,5/12/24,29372.16,Mothers Day,78,58,Extras,73,60,13,0.821917808,0.178082192
Monday,5/13/24,17161.91,None,73,58,BBC,4,3,1,0.75,0.25
Monday,5/13/24,17161.91,None,73,58,WC,17,14,3,0.823529412,0.176470588
Monday,5/13/24,17161.91,None,73,58,MT,26,5,21,0.192307692,0.807692308
Monday,5/13/24,17161.91,None,73,58,ST,6,5,1,0.833333333,0.166666667
Monday,5/13/24,17161.91,None,73,58,FW/WT,7,7,0,1,0
Monday,5/13/24,17161.91,None,73,58,Lemon,2,2,0,1,0
Monday,5/13/24,17161.91,None,73,58,Extras,40,28,12,0.7,0.3
Tuesday,5/14/24,16754.92,None,73,57,BBC,3,2,1,0.666666667,0.333333333
Tuesday,5/14/24,16754.92,None,73,57,WC,18,13,5,0.722222222,0.277777778
Tuesday,5/14/24,16754.92,None,73,57,MT,21,6,15,0.285714286,0.714285714
Tuesday,5/14/24,16754.92,None,73,57,ST,5,4,1,0.8,0.2
Tuesday,5/14/24,16754.92,None,73,57,FW/WT,4,3,1,0.75,0.25
Tuesday,5/14/24,16754.92,None,73,57,Lemon,2,2,0,1,0
Tuesday,5/14/24,16754.92,None,73,57,Extras,37,33,4,0.891891892,0.108108108
Wednesday,5/15/24,13340.99,None,72,58,BBC,3,2,1,0.666666667,0.333333333
Wednesday,5/15/24,13340.99,None,72,58,WC,16,12,4,0.75,0.25
Wednesday,5/15/24,13340.99,None,72,58,MT,31,6,25,0.193548387,0.806451613
Wednesday,5/15/24,13340.99,None,72,58,ST,4,4,0,1,0
Wednesday,5/15/24,13340.99,None,72,58,FW/WT,5,4,1,0.8,0.2
Wednesday,5/15/24,13340.99,None,72,58,Lemon,2,2,0,1,0
Wednesday,5/15/24,13340.99,None,72,58,Extras,38,33,5,0.868421053,0.131578947
Thursday,5/16/24,17054.55,Dentist Conv,70,57,BBC,4,3,1,0.75,0.25
Thursday,5/16/24,17054.55,Dentist Conv,70,57,WC,16,12,4,0.75,0.25
Thursday,5/16/24,17054.55,Dentist Conv,70,57,MT,48,4,44,0.083333333,0.916666667
Thursday,5/16/24,17054.55,Dentist Conv,70,57,ST,6,4,2,0.666666667,0.333333333
Thursday,5/16/24,17054.55,Dentist Conv,70,57,FW/WT,5,4,1,0.8,0.2
Thursday,5/16/24,17054.55,Dentist Conv,70,57,Lemon,2,1,1,0.5,0.5
Thursday,5/16/24,17054.55,Dentist Conv,70,57,Extras,40,30,10,0.75,0.25
Friday,5/17/24,27739.53,None,73,58,BBC,5,3,2,0.6,0.4
Friday,5/17/24,27739.53,None,73,58,WC,20,18,2,0.9,0.1
Friday,5/17/24,27739.53,None,73,58,MT,37,7,30,0.189189189,0.810810811
Friday,5/17/24,27739.53,None,73,58,ST,8,8,0,1,0
Friday,5/17/24,27739.53,None,73,58,FW/WT,4,4,0,1,0
Friday,5/17/24,27739.53,None,73,58,Lemon,2,1.5,0.5,0.75,0.25
Friday,5/17/24,27739.53,None,73,58,Extras,56,51,5,0.910714286,0.089285714
Saturday,5/18/24,33151.77,None,72,58,BBC,4,4,0,1,0
Saturday,5/18/24,33151.77,None,72,58,WC,30,29,1,0.966666667,0.033333333
Saturday,5/18/24,33151.77,None,72,58,MT,30,18,12,0.6,0.4
Saturday,5/18/24,33151.77,None,72,58,ST,12,12,0,1,0
Saturday,5/18/24,33151.77,None,72,58,FW/WT,10,6,4,0.6,0.4
Saturday,5/18/24,33151.77,None,72,58,Lemon,2,2,0,1,0
Saturday,5/18/24,33151.77,None,72,58,Extras,61,55,6,0.901639344,0.098360656
Sunday,5/19/24,30258.44,None,74,57,BBC,4,4,0,1,0
Sunday,5/19/24,30258.44,None,74,57,WC,29,26,3,0.896551724,0.103448276
Sunday,5/19/24,30258.44,None,74,57,MT,19,14,5,0.736842105,0.263157895
Sunday,5/19/24,30258.44,None,74,57,ST,16,7,9,0.4375,0.5625
Sunday,5/19/24,30258.44,None,74,57,FW/WT,8,8,0,1,0
Sunday,5/19/24,30258.44,None,74,57,Lemon,4,2,2,0.5,0.5
Sunday,5/19/24,30258.44,None,74,57,Extras,65,55,10,0.846153846,0.153846154
Monday,5/20/24,16052.94,None,71,56,BBC,4,17,-13,4.25,-3.25
Monday,5/20/24,16052.94,None,71,56,WC,19,5,14,0.263157895,0.736842105
Monday,5/20/24,16052.94,None,71,56,MT,21,6,15,0.285714286,0.714285714
Monday,5/20/24,16052.94,None,71,56,ST,9,3,6,0.333333333,0.666666667
Monday,5/20/24,16052.94,None,71,56,FW/WT,4,2,2,0.5,0.5
Monday,5/20/24,16052.94,None,71,56,Lemon,2,1.5,0.5,0.75,0.25
Monday,5/20/24,16052.94,None,71,56,Extras,33,25,8,0.757575758,0.242424242
Tuesday,5/21/24,18185.33,None,73,58,BBC,4,2,2,0.5,0.5
Tuesday,5/21/24,18185.33,None,73,58,WC,21,13,8,0.619047619,0.380952381
Tuesday,5/21/24,18185.33,None,73,58,MT,16,3,13,0.1875,0.8125
Tuesday,5/21/24,18185.33,None,73,58,ST,8,5,3,0.625,0.375
Tuesday,5/21/24,18185.33,None,73,58,FW/WT,5,4,1,0.8,0.2
Tuesday,5/21/24,18185.33,None,73,58,Lemon,2,1.5,0.5,0.75,0.25
Tuesday,5/21/24,18185.33,None,73,58,Extras,37,30,7,0.810810811,0.189189189
Wednesday,5/22/24,24929.4,None,73,56,BBC,4,4,0,1,0
Wednesday,5/22/24,24929.4,None,73,56,WC,18,15,3,0.833333333,0.166666667
Wednesday,5/22/24,24929.4,None,73,56,MT,32,8,24,0.25,0.75
Wednesday,5/22/24,24929.4,None,73,56,ST,7,7,0,1,0
Wednesday,5/22/24,24929.4,None,73,56,FW/WT,5,5,0,1,0
Wednesday,5/22/24,24929.4,None,73,56,Lemon,2,2,0,1,0
Wednesday,5/22/24,24929.4,None,73,56,Extras,39,38,1,0.974358974,0.025641026
Thursday,5/23/24,24717.78,None,71,57,BBC,4,3,1,0.75,0.25
Thursday,5/23/24,24717.78,None,71,57,WC,19,19,0,1,0
Thursday,5/23/24,24717.78,None,71,57,MT,45,11,34,0.244444444,0.755555556
Thursday,5/23/24,24717.78,None,71,57,ST,10,8,2,0.8,0.2
Thursday,5/23/24,24717.78,None,71,57,FW/WT,6,4,2,0.666666667,0.333333333
Thursday,5/23/24,24717.78,None,71,57,Lemon,2,1.5,0.5,0.75,0.25
Thursday,5/23/24,24717.78,None,71,57,Extras,44,38,6,0.863636364,0.136363636
Friday,5/24/24,27991.58,Memorial Day Weekend,70,57,BBC,5,3,2,0.6,0.4
Friday,5/24/24,27991.58,Memorial Day Weekend,70,57,WC,28,27,1,0.964285714,0.035714286
Friday,5/24/24,27991.58,Memorial Day Weekend,70,57,MT,34,10,24,0.294117647,0.705882353
Friday,5/24/24,27991.58,Memorial Day Weekend,70,57,ST,10,9,1,0.9,0.1
Friday,5/24/24,27991.58,Memorial Day Weekend,70,57,FW/WT,7,5,2,0.714285714,0.285714286
Friday,5/24/24,27991.58,Memorial Day Weekend,70,57,Lemon,2,2,0,1,0
Friday,5/24/24,27991.58,Memorial Day Weekend,70,57,Extras,58,55,3,0.948275862,0.051724138
Saturday,5/25/24,33073.56,Memorial Day Weekend,70,56,BBC,6,5,1,0.833333333,0.166666667
Saturday,5/25/24,33073.56,Memorial Day Weekend,70,56,WC,34,29,5,0.852941176,0.147058824
Saturday,5/25/24,33073.56,Memorial Day Weekend,70,56,MT,24,16,8,0.666666667,0.333333333
Saturday,5/25/24,33073.56,Memorial Day Weekend,70,56,ST,13,10,3,0.769230769,0.230769231
Saturday,5/25/24,33073.56,Memorial Day Weekend,70,56,FW/WT,10,8,2,0.8,0.2
Saturday,5/25/24,33073.56,Memorial Day Weekend,70,56,Lemon,3,3,0,1,0
Saturday,5/25/24,33073.56,Memorial Day Weekend,70,56,Extras,69,67,2,0.971014493,0.028985507
Sunday,5/26/24,37424.96,Memorial Day Weekend,72,55,BBC,9,4,5,0.444444444,0.555555556
Sunday,5/26/24,37424.96,Memorial Day Weekend,72,55,WC,33,30,3,0.909090909,0.090909091
Sunday,5/26/24,37424.96,Memorial Day Weekend,72,55,MT,20,14,6,0.7,0.3
Sunday,5/26/24,37424.96,Memorial Day Weekend,72,55,ST,16,6,10,0.375,0.625
Sunday,5/26/24,37424.96,Memorial Day Weekend,72,55,FW/WT,14,13,1,0.928571429,0.071428571
Sunday,5/26/24,37424.96,Memorial Day Weekend,72,55,Lemon,6,4,2,0.666666667,0.333333333
Sunday,5/26/24,37424.96,Memorial Day Weekend,72,55,Extras,70,61,9,0.871428571,0.128571429
Monday,5/27/24,35846.86,Memorial Day,75,55,BBC,5,4,1,0.8,0.2
Monday,5/27/24,35846.86,Memorial Day,75,55,WC,35,28,7,0.8,0.2
Monday,5/27/24,35846.86,Memorial Day,75,55,MT,20,12,8,0.6,0.4
Monday,5/27/24,35846.86,Memorial Day,75,55,ST,10,9,1,0.9,0.1
Monday,5/27/24,35846.86,Memorial Day,75,55,FW/WT,10,10,0,1,0
Monday,5/27/24,35846.86,Memorial Day,75,55,Lemon,2,2,0,1,0
Monday,5/27/24,35846.86,Memorial Day,75,55,Extras,71,62,9,0.873239437,0.126760563
Tuesday,5/28/24,19380.49,None,75,57,BBC,5,3,2,0.6,0.4
Tuesday,5/28/24,19380.49,None,75,57,WC,19,15,4,0.789473684,0.210526316
Tuesday,5/28/24,19380.49,None,75,57,MT,14,6,8,0.428571429,0.571428571
Tuesday,5/28/24,19380.49,None,75,57,ST,8,6,2,0.75,0.25
Tuesday,5/28/24,19380.49,None,75,57,FW/WT,6,4,2,0.666666667,0.333333333
Tuesday,5/28/24,19380.49,None,75,57,Lemon,2,2,0,1,0
Tuesday,5/28/24,19380.49,None,75,57,Extras,41,37,4,0.902439024,0.097560976
Wednesday,5/29/24,21279.31,Trumpet Convn,75,57,BBC,4,3.5,0.5,0.875,0.125
Wednesday,5/29/24,21279.31,Trumpet Convn,75,57,WC,20,18,2,0.9,0.1
Wednesday,5/29/24,21279.31,Trumpet Convn,75,57,MT,41,6,35,0.146341463,0.853658537
Wednesday,5/29/24,21279.31,Trumpet Convn,75,57,ST,8,7,1,0.875,0.125
Wednesday,5/29/24,21279.31,Trumpet Convn,75,57,FW/WT,5,4,1,0.8,0.2
Wednesday,5/29/24,21279.31,Trumpet Convn,75,57,Lemon,3,2,1,0.666666667,0.333333333
Wednesday,5/29/24,21279.31,Trumpet Convn,75,57,Extras,45,36,9,0.8,0.2
Thursday,5/30/24,23041.48,Trumpet Convn,79,58,BBC,5,4,1,0.8,0.2
Thursday,5/30/24,23041.48,Trumpet Convn,79,58,WC,21,20,1,0.952380952,0.047619048
Thursday,5/30/24,23041.48,Trumpet Convn,79,58,MT,54,11,43,0.203703704,0.796296296
Thursday,5/30/24,23041.48,Trumpet Convn,79,58,ST,10,5.5,4.5,0.55,0.45
Thursday,5/30/24,23041.48,Trumpet Convn,79,58,FW/WT,6,2,4,0.333333333,0.666666667
Thursday,5/30/24,23041.48,Trumpet Convn,79,58,Lemon,2,1.5,0.5,0.75,0.25
Thursday,5/30/24,23041.48,Trumpet Convn,79,58,Extras,46,40,6,0.869565217,0.130434783
Friday,5/31/24,26477.06,None,75,58,BBC,25,3,22,0.12,0.88
Friday,5/31/24,26477.06,None,75,58,WC,29,23,6,0.793103448,0.206896552
Friday,5/31/24,26477.06,None,75,58,MT,43,17,26,0.395348837,0.604651163
Friday,5/31/24,26477.06,None,75,58,ST,9,8.5,0.5,0.944444444,0.055555556
Friday,5/31/24,26477.06,None,75,58,FW/WT,8,6,2,0.75,0.25
Friday,5/31/24,26477.06,None,75,58,Lemon,2,1.5,0.5,0.75,0.25
Friday,5/31/24,26477.06,None,75,58,Extras,58,50,8,0.862068966,0.137931034
Saturday,6/1/24,31923.62,None,74,58,BBC,6,5,1,0.833333333,0.166666667
Saturday,6/1/24,31923.62,None,74,58,WC,34,29,5,0.852941176,0.147058824
Saturday,6/1/24,31923.62,None,74,58,MT,23,12,11,0.52173913,0.47826087
Saturday,6/1/24,31923.62,None,74,58,ST,13,12,1,0.923076923,0.076923077
Saturday,6/1/24,31923.62,None,74,58,FW/WT,10,8,2,0.8,0.2
Saturday,6/1/24,31923.62,None,74,58,Lemon,2,2,0,1,0
Saturday,6/1/24,31923.62,None,74,58,Extras,71,58,13,0.816901408,0.183098592
Sunday,6/2/24,33369.4,None,73,59,BBC,5,5,0,1,0
Sunday,6/2/24,33369.4,None,73,59,WC,30,30,0,1,0
Sunday,6/2/24,33369.4,None,73,59,MT,20,10,10,0.5,0.5
Sunday,6/2/24,33369.4,None,73,59,ST,17,11,6,0.647058824,0.352941176
Sunday,6/2/24,33369.4,None,73,59,FW/WT,10,5,5,0.5,0.5
Sunday,6/2/24,33369.4,None,73,59,Lemon,4,4,0,1,0
Sunday,6/2/24,33369.4,None,73,59,Extras,73,62,11,0.849315068,0.150684932
Monday,6/3/24,18582.49,None,76,58,BBC,4,3,1,0.75,0.25
Monday,6/3/24,18582.49,None,76,58,WC,20,16,4,0.8,0.2
Monday,6/3/24,18582.49,None,76,58,MT,25,6,19,0.24,0.76
Monday,6/3/24,18582.49,None,76,58,ST,9,5,4,0.555555556,0.444444444
Monday,6/3/24,18582.49,None,76,58,FW/WT,5,4,1,0.8,0.2
Monday,6/3/24,18582.49,None,76,58,Lemon,2,2,0,1,0
Monday,6/3/24,18582.49,None,76,58,Extras,44,28,16,0.636363636,0.363636364
Tuesday,6/4/24,24796.72,None,78,60,BBC,3,3,0,1,0
Tuesday,6/4/24,24796.72,None,78,60,WC,20,20,0,1,0
Tuesday,6/4/24,24796.72,None,78,60,MT,19,11,8,0.578947368,0.421052632
Tuesday,6/4/24,24796.72,None,78,60,ST,8,8,0,1,0
Tuesday,6/4/24,24796.72,None,78,60,FW/WT,6,6,0,1,0
Tuesday,6/4/24,24796.72,None,78,60,Lemon,2,1,1,0.5,0.5
Tuesday,6/4/24,24796.72,None,78,60,Extras,43,38,5,0.88372093,0.11627907
Wednesday,6/5/24,24098.86,None,79,61,BBC,6,3,3,0.5,0.5
Wednesday,6/5/24,24098.86,None,79,61,WC,20,14,6,0.7,0.3
Wednesday,6/5/24,24098.86,None,79,61,MT,28,12,16,0.428571429,0.571428571
Wednesday,6/5/24,24098.86,None,79,61,ST,9,9,0,1,0
Wednesday,6/5/24,24098.86,None,79,61,FW/WT,4,4,0,1,0
Wednesday,6/5/24,24098.86,None,79,61,Lemon,2,1.5,0.5,0.75,0.25
Wednesday,6/5/24,24098.86,None,79,61,Extras,44,38,6,0.863636364,0.136363636
Thursday,6/6/24,26265.82,None,77,62,BBC,5,4,1,0.8,0.2
Thursday,6/6/24,26265.82,None,77,62,WC,26,23,3,0.884615385,0.115384615
Thursday,6/6/24,26265.82,None,77,62,MT,39,11,28,0.282051282,0.717948718
Thursday,6/6/24,26265.82,None,77,62,ST,12,8,4,0.666666667,0.333333333
Thursday,6/6/24,26265.82,None,77,62,FW/WT,6,5,1,0.833333333,0.166666667
Thursday,6/6/24,26265.82,None,77,62,Lemon,2,1.5,0.5,0.75,0.25
Thursday,6/6/24,26265.82,None,77,62,Extras,52,50,2,0.961538462,0.038461538
Friday,6/7/24,29226.9,Gymnastic Conv,76,61,BBC,6,5,1,0.833333333,0.166666667
Friday,6/7/24,29226.9,Gymnastic Conv,76,61,WC,30,21,9,0.7,0.3
Friday,6/7/24,29226.9,Gymnastic Conv,76,61,MT,28,10,18,0.357142857,0.642857143
Friday,6/7/24,29226.9,Gymnastic Conv,76,61,ST,13,8,5,0.615384615,0.384615385
Friday,6/7/24,29226.9,Gymnastic Conv,76,61,FW/WT,8,6,2,0.75,0.25
Friday,6/7/24,29226.9,Gymnastic Conv,76,61,Lemon,2,2,0,1,0
Friday,6/7/24,29226.9,Gymnastic Conv,76,61,Extras,69,63,6,0.913043478,0.086956522
Saturday,6/8/24,31407.9,Gymnastic Conv,76,61,BBC,5,4,1,0.8,0.2
Saturday,6/8/24,31407.9,Gymnastic Conv,76,61,WC,37,28,9,0.756756757,0.243243243
Saturday,6/8/24,31407.9,Gymnastic Conv,76,61,MT,22,13,9,0.590909091,0.409090909
Saturday,6/8/24,31407.9,Gymnastic Conv,76,61,ST,13,11,2,0.846153846,0.153846154
Saturday,6/8/24,31407.9,Gymnastic Conv,76,61,FW/WT,10,8.5,1.5,0.85,0.15
Saturday,6/8/24,31407.9,Gymnastic Conv,76,61,Lemon,2,2,0,1,0
Saturday,6/8/24,31407.9,Gymnastic Conv,76,61,Extras,68,60,8,0.882352941,0.117647059
Sunday,6/9/24,33363.76,Gymnastic Conv,75,61,BBC,4,3,1,0.75,0.25
Sunday,6/9/24,29362.94,Gymnastic Conv,75,61,WC,33,25,8,0.757575758,0.242424242
Sunday,6/9/24,29362.94,Gymnastic Conv,75,61,MT,21,11,10,0.523809524,0.476190476
Sunday,6/9/24,29362.94,Gymnastic Conv,75,61,ST,14,8,6,0.571428571,0.428571429
Sunday,6/9/24,29362.94,Gymnastic Conv,75,61,FW/WT,10,7,3,0.7,0.3
Sunday,6/9/24,29362.94,Gymnastic Conv,75,61,Lemon,4,4,0,1,0
Sunday,6/9/24,29362.94,Gymnastic Conv,75,61,Extras,71,61,10,0.85915493,0.14084507
Monday,6/10/24,21778.22,None,76,61,BBC,4,4,0,1,0
Monday,6/10/24,21778.22,None,76,61,WC,23,19,4,0.826086957,0.173913043
Monday,6/10/24,21778.22,None,76,61,MT,29,11,18,0.379310345,0.620689655
Monday,6/10/24,21778.22,None,76,61,ST,13,8,5,0.615384615,0.384615385
Monday,6/10/24,21778.22,None,76,61,FW/WT,7,6,1,0.857142857,0.142857143
Monday,6/10/24,21778.22,None,76,61,Lemon,2,1.5,0.5,0.75,0.25
Monday,6/10/24,21778.22,None,76,61,Extras,50,42,8,0.84,0.16
Tuesday,6/11/24,21531.03,None,77,60,BBC,6,3,3,0.5,0.5
Tuesday,6/11/24,21531.03,None,77,60,WC,24,19,5,0.791666667,0.208333333
Tuesday,6/11/24,21531.03,None,77,60,MT,18,5,13,0.277777778,0.722222222
Tuesday,6/11/24,21531.03,None,77,60,ST,8,5,3,0.625,0.375
Tuesday,6/11/24,21531.03,None,77,60,FW/WT,5,4,1,0.8,0.2
Tuesday,6/11/24,21531.03,None,77,60,Lemon,2,1.5,0.5,0.75,0.25
Tuesday,6/11/24,21531.03,None,77,60,Extras,51,41,10,0.803921569,0.196078431
Wednesday,6/12/24,25481.28,None,78,61,BBC,5,4,1,0.8,0.2
Wednesday,6/12/24,25481.28,None,78,61,WC,25,22,3,0.88,0.12
Wednesday,6/12/24,25481.28,None,78,61,MT,37,12,25,0.324324324,0.675675676
Wednesday,6/12/24,25481.28,None,78,61,ST,7,55,-48,7.857142857,-6.857142857
Wednesday,6/12/24,25481.28,None,78,61,FW/WT,6,5,1,0.833333333,0.166666667
Wednesday,6/12/24,25481.28,None,78,61,Lemon,2,1.5,0.5,0.75,0.25
Wednesday,6/12/24,25481.28,None,78,61,Extras,54,46,8,0.851851852,0.148148148
Thursday,6/13/24,26111.71,None,79,59,BBC,5,4,1,0.8,0.2
Thursday,6/13/24,26111.71,None,79,59,WC,27,26,1,0.962962963,0.037037037
Thursday,6/13/24,26111.71,None,79,59,MT,45,11,34,0.244444444,0.755555556
Thursday,6/13/24,26111.71,None,79,59,ST,9,8,1,0.888888889,0.111111111
Thursday,6/13/24,26111.71,None,79,59,FW/WT,7,5,2,0.714285714,0.285714286
Thursday,6/13/24,26111.71,None,79,59,Lemon,2,1.5,0.5,0.75,0.25
Thursday,6/13/24,26111.71,None,79,59,Extras,58,53,5,0.913793103,0.086206897
Friday,6/14/24,32259.99,None,80,60,BBC,5,4,1,0.8,0.2
Friday,6/14/24,32259.99,None,80,60,WC,29,25,4,0.862068966,0.137931034
Friday,6/14/24,32259.99,None,80,60,MT,34,13,21,0.382352941,0.617647059
Friday,6/14/24,32259.99,None,80,60,ST,12,8,4,0.666666667,0.333333333
Friday,6/14/24,32259.99,None,80,60,FW/WT,8,5,3,0.625,0.375
Friday,6/14/24,32259.99,None,80,60,Lemon,2,2,0,1,0
Friday,6/14/24,32259.99,None,80,60,Extras,67,58,9,0.865671642,0.134328358
Saturday,6/15/24,28936.46,None,85,60,BBC,4.5,4,0.5,0.888888889,0.111111111
Saturday,6/15/24,28936.46,None,85,60,WC,36,30,6,0.833333333,0.166666667
Saturday,6/15/24,28936.46,None,85,60,MT,21,14,7,0.666666667,0.333333333
Saturday,6/15/24,28936.46,None,85,60,ST,16,11,5,0.6875,0.3125
Saturday,6/15/24,28936.46,None,85,60,FW/WT,10,19,-9,1.9,-0.9
Saturday,6/15/24,28936.46,None,85,60,Lemon,2,2,0,1,0
Saturday,6/15/24,28936.46,None,85,60,Extras,72,69,3,0.958333333,0.041666667
Sunday,6/16/24,37182.82,None,80,61,BBC,6,5,1,0.833333333,0.166666667
Sunday,6/16/24,37182.82,None,80,61,WC,34,34,0,1,0
Sunday,6/16/24,37182.82,None,80,61,MT,15,15,0,1,0
Sunday,6/16/24,37182.82,None,80,61,ST,17,17,0,1,0
Sunday,6/16/24,37182.82,None,80,61,FW/WT,12,12,0,1,0
Sunday,6/16/24,37182.82,None,80,61,Lemon,3,3,0,1,0
Sunday,6/16/24,37182.82,None,80,61,Extras,75,70,5,0.933333333,0.066666667
Monday,6/17/24,26222.95,None,76,61,BBC,4,3,1,0.75,0.25
Monday,6/17/24,26222.95,None,76,61,WC,28,23,5,0.821428571,0.178571429
Monday,6/17/24,26222.95,None,76,61,MT,16,10,6,0.625,0.375
Monday,6/17/24,26222.95,None,76,61,ST,16,6,10,0.375,0.625
Monday,6/17/24,26222.95,None,76,61,FW/WT,8,5,3,0.625,0.375
Monday,6/17/24,26222.95,None,76,61,Lemon,2,1.5,0.5,0.75,0.25
Monday,6/17/24,26222.95,None,76,61,Extras,62,51,11,0.822580645,0.177419355
Tuesday,6/18/24,22863.55,None,79,60,BBC,5,3,2,0.6,0.4
Tuesday,6/18/24,22863.55,None,79,60,WC,25,19,6,0.76,0.24
Tuesday,6/18/24,22863.55,None,79,60,MT,18,5,13,0.277777778,0.722222222
Tuesday,6/18/24,22863.55,None,79,60,ST,10,9,1,0.9,0.1
Tuesday,6/18/24,22863.55,None,79,60,FW/WT,7,5,2,0.714285714,0.285714286
Tuesday,6/18/24,22863.55,None,79,60,Lemon,2,1.5,0.5,0.75,0.25
Tuesday,6/18/24,22863.55,None,79,60,Extras,58,45,13,0.775862069,0.224137931
Wednesday,6/19/24,28731.29,None,79,60,BBC,5,3,2,0.6,0.4
Wednesday,6/19/24,28731.29,None,79,60,WC,26,20,6,0.769230769,0.230769231
Wednesday,6/19/24,28731.29,None,79,60,MT,47,24,23,0.510638298,0.489361702
Wednesday,6/19/24,28731.29,None,79,60,ST,9,8,1,0.888888889,0.111111111
Wednesday,6/19/24,28731.29,None,79,60,FW/WT,8,6,2,0.75,0.25
Wednesday,6/19/24,28731.29,None,79,60,Lemon,2,1.5,0.5,0.75,0.25
Wednesday,6/19/24,28731.29,None,79,60,Extras,57,53,4,0.929824561,0.070175439
Thursday,6/20/24,27591.71,None,81,61,BBC,6,5,1,0.833333333,0.166666667
Thursday,6/20/24,27591.71,None,81,61,WC,30,28,2,0.933333333,0.066666667
Thursday,6/20/24,27591.71,None,81,61,MT,43,14,29,0.325581395,0.674418605
Thursday,6/20/24,27591.71,None,81,61,ST,10,7,3,0.7,0.3
Thursday,6/20/24,27591.71,None,81,61,FW/WT,8,6.5,1.5,0.8125,0.1875
Thursday,6/20/24,27591.71,None,81,61,Lemon,2,1.5,0.5,0.75,0.25
Thursday,6/20/24,27591.71,None,81,61,Extras,64,56,8,0.875,0.125
Friday,6/21/24,30277.95,None,85,60,BBC,6,5,1,0.833333333,0.166666667
Friday,6/21/24,30277.95,None,85,60,WC,30,21,9,0.7,0.3
Friday,6/21/24,30277.95,None,85,60,MT,30,16,14,0.533333333,0.466666667
Friday,6/21/24,30277.95,None,85,60,ST,9,7,2,0.777777778,0.222222222
Friday,6/21/24,30277.95,None,85,60,FW/WT,9,5,4,0.555555556,0.444444444
Friday,6/21/24,30277.95,None,85,60,Lemon,2,1.5,0.5,0.75,0.25
Friday,6/21/24,30277.95,None,85,60,Extras,68,51,17,0.75,0.25
Saturday,6/22/24,37849.56,None,88,66,BBC,7,6,1,0.857142857,0.142857143
Saturday,6/22/24,37849.56,None,88,66,WC,37,35,2,0.945945946,0.054054054
Saturday,6/22/24,37849.56,None,88,66,MT,21,13,8,0.619047619,0.380952381
Saturday,6/22/24,37849.56,None,88,66,ST,18,13,5,0.722222222,0.277777778
Saturday,6/22/24,37849.56,None,88,66,FW/WT,12,12,0,1,0
Saturday,6/22/24,37849.56,None,88,66,Lemon,3,3,0,1,0
Saturday,6/22/24,37849.56,None,88,66,Extras,75,65,10,0.866666667,0.133333333
Sunday,6/23/24,42551.69,None,87,67,BBC,9,8,1,0.888888889,0.111111111
Sunday,6/23/24,42551.69,None,87,67,WC,38,37,1,0.973684211,0.026315789
Sunday,6/23/24,42551.69,None,87,67,MT,16,15,1,0.9375,0.0625
